"","GSM128731","GSM128734","GSM131685","GSM131686","GSM131687","GSM131688","GSM131689","GSM131690","GSM131691","GSM131692","GSM131693","GSM133816","GSM133817","GSM133818","GSM133819","GSM133820","GSM133821"
"AT2G16620",3.46409845656206,3.3646524889263,3.18383165863209,3.23395677186155,3.24602772804208,3.20937154696191,3.23345722589624,3.31556237349985,3.25202148781188,3.35912301464188,3.27366577497219,3.44321845659478,3.4118459568396,3.37304131779287,3.37334033264581,3.3375238252191,3.47260844678335
"AT1G10290",8.56136270963597,8.41328311789957,7.27604439666335,7.22019136176813,7.31518723446688,7.68359281920021,7.65542343204445,7.56741053002676,7.59265332880172,7.52256566863714,7.54102982822655,8.00079386894479,7.9773444010152,7.07726906788827,7.71849041168181,7.22824665872353,8.02521694321735
"AT2G20340",8.85381581259269,8.62075245061457,6.55518930166386,6.68306956480603,6.85120493227781,7.78674739048081,7.71049629459749,7.71817395530536,7.10741518243297,7.08160666596143,7.10737383195997,8.34726576652198,7.47504453949667,7.9966044880391,7.61766072152796,7.18952560591905,7.7405636956995
"AT1G09910",5.87983680567138,6.5223822954251,7.50940521270941,7.42448760879424,7.55238152175699,7.39513275787163,7.28225055851048,7.50288946523383,7.3707708804606,7.23536530892823,7.35111025371866,8.10030207266799,8.29762987214811,8.07188563865276,8.72815196712251,7.87554052015657,8.10782598218777
"AT2G18090",8.65202707563432,8.61141054978615,7.45327629707504,7.25959338734111,7.290500075631,7.904397782551,8.12523536406588,8.08864101162202,8.22649950979146,8.11588073252907,8.10025026628515,7.65372792718463,7.71402937988395,7.93984414964699,8.31816742130154,8.05089511919608,8.56207740865259
"AT2G20050",7.36799943128064,6.88616130152914,6.30215163141141,6.0052134913466,6.28105765513924,6.49656696603067,6.50039506752724,6.60174274342934,6.58649221685335,6.47619261157833,6.32594093180936,6.54589809496991,6.6266802965725,7.06009432054088,6.79902147736163,6.95647097282981,7.02289324962457
"AT2G19800",6.08378007696248,7.48324342863133,7.82601958998344,7.68240600666916,7.66587007373493,5.86658965649379,5.86295778703235,5.77153812045454,5.85145465027392,5.8821286484166,6.00292126167054,6.01390980248621,5.76787217199117,6.3497525964791,5.50101517393466,6.55414629722959,5.77737728989748
"AT2G20370",8.52010161379789,8.22980476704596,7.2724640269093,7.5227750761016,7.34306775464998,7.98521021555247,8.04038726239034,8.01110853204094,7.99941160987492,8.19852963818359,8.1844188317954,7.41762314097951,7.7930516144227,7.10629974472142,7.13210084097057,7.14666224889318,8.07220419623311
"AT2G17840",7.2827308709451,6.52335933702718,11.1537736676249,11.1514671414463,11.1254863974587,11.3363564096048,11.4275736242406,11.5417367972793,11.5515665581461,11.6304050623216,11.6628617804721,9.46404637536119,8.72935418815262,8.99649392354187,8.29383368551592,9.10683444133477,8.3800558074839
"AT2G19120",7.97096902169883,7.94013274028211,5.39987389820692,5.56833567870134,5.2344573720132,7.70047092256357,7.44713564206248,7.04840624853419,7.90761777521742,7.38200590164081,7.11731836769317,5.37817478961834,5.66724228211285,5.99814336211816,6.07149871306447,6.09264268215745,7.14816623230235
"AT2G20810",8.72446490161999,8.58495680668152,7.85053850267095,7.77690070893765,7.91930147965402,8.06286829264094,8.14312221261871,7.8275077858725,8.15205435301767,8.06856559414471,8.25900789516721,8.13042134163123,7.9144897029327,8.11683896906848,7.83141172325474,7.83784649086974,8.10929265985212
"AT2G22960",4.20156306805275,3.80155126650677,3.72544287517119,3.66567107710479,3.73161342249911,3.5178720716269,3.74342143746002,3.60619817610761,3.65974482045453,3.72575110424586,3.64310118212381,3.78953137891798,3.76297719981291,3.74533198860329,3.85421563682817,3.90431218661123,3.89522055244501
